Country,LOCATION,"Deaths from suicide, alcohol, drugs",Employment rate,Financial insecurity,Household income,Household wealth,Housing affordability,Life expectancy at birth,Social support,% of GDP to Social Programs
Australia,AUS,21.24659061431883,76.817113825428,43.299999833107,36111.71428571428,278028.0,80.58141202890316,82.68333333333332,93.73845947126148,17.969800000000003
Austria,AUT,19.97940826416015,76.4347247808262,24.88,33427.57142857143,104819.0,78.98255827108947,81.60000000000001,91.43040320083615,28.81742857142857
Belgium,BEL,21.19020986557005,72.4587486414405,37.76,31715.571428571428,265286.0,79.94681592868662,81.52857142857144,90.68965628518018,29.18771428571429
Canada,CAN,20.6240005493164,76.49511970570578,37.4999993443489,31610.85714285714,205976.0,77.55525283146311,81.95,92.6907347454715,19.326333333333334
Chile,CHL,17.652663230895975,70.70413651823966,,,58935.0,82.90487426613447,80.39999999999999,86.81300250570307,13.065285714285716
Colombia,COL,13.01167144775392,72.85196696452752,,,,,76.22857142857143,85.75201260153574,14.684428571428572
Costa Rica,CRI,11.7800472577413,68.00638462652243,,14809.0,,82.78828528057126,80.32857142857142,88.09249746196598,12.708666666666668
Czechia,CZE,19.94164244333903,81.27207778282302,,23420.0,,76.52978790543749,78.71428571428571,92.2522594110682,20.101714285714287
Denmark,DNK,15.351425170898425,78.93533452202107,30.4782993085861,30202.428571428572,33532.0,76.36807535382403,81.18571428571428,95.41022087017444,28.99614285714286
Estonia,EST,36.93265692392987,80.0138549974091,52.07,20891.85714285714,82437.0,82.74518461583942,78.24285714285713,92.27924211410034,17.923714285714286
Finland,FIN,43.3569539388021,77.1382354754944,41.4,30200.428571428572,121064.0,76.86688458911422,81.81428571428572,95.57457971584337,30.09385714285714
France,FRA,18.40501721700033,73.38287689362026,41.44,31319.285714285714,147918.0,79.20181366432446,82.62857142857145,91.8549280060486,32.05814285714286
Germany,DEU,18.096151669820134,80.66919206949186,39.9,34516.28571428572,94588.0,79.68292472810909,81.0142857142857,89.70481241063503,26.006857142857143
Greece,GRC,10.79913654327392,61.87409768881586,69.71,18885.428571428572,96009.0,77.40652984173373,81.32857142857142,82.06943830655321,25.85885714285714
Hungary,HUN,24.369926452636722,76.56034385906275,63.95,19759.14285714286,75272.0,80.81009761817464,75.82857142857142,90.9618776660208,18.97742857142857
Iceland,ISL,22.278906504313166,84.39224886768,,,,,82.81428571428572,97.76804850335778,18.91857142857143
Ireland,IRL,13.144291400909399,74.51034480798832,56.89,27133.285714285714,183764.0,79.46835489019635,82.16666666666667,93.40933962116355,14.395142857142856
Israel,ISR,8.70701198577881,76.70784511056546,,,,,82.64285714285712,90.32532188825176,16.718
Italy,ITA,11.8667834599813,65.2490069551143,36.19,26507.14285714286,185815.0,77.41600418982364,83.05714285714286,89.39457304071244,28.929142857142857
Japan,JPN,19.56708717346188,82.07055431988029,21.5,29681.285714285714,125272.0,78.89761094947819,84.26666666666667,88.82227205007595,22.64316666666667
Korea,KOR,30.28688316345216,73.67090072568912,12.29174669981005,24035.833333333332,187950.0,85.24404847176493,82.78333333333333,78.9041508825201,11.725999999999999
Latvia,LVA,40.01905123392742,76.98630315890539,83.23,18279.85714285714,38543.0,79.45818695724071,74.89999999999999,89.12298133971488,16.91342857142857
Lithuania,LTU,51.26358731587731,79.08138394189197,62.27,23561.0,101338.0,81.2949858073621,75.34285714285714,87.22777497662723,17.13
Luxembourg,LUX,16.50432071685792,75.07206830556788,38.38,42706.42857142857,532460.0,79.48920500428845,82.45714285714284,91.55226341370492,21.37614285714286
Mexico,MEX,28.07047684987387,68.25080318044486,,15416.714285714286,,81.67697506313219,74.95,81.62221066992785,7.4024
Netherlands,NLD,14.226008256276435,79.89246154234407,21.0000000298023,31671.285714285714,43914.0,80.52754229676982,81.72857142857143,92.42517375476866,17.420571428571428
New Zealand,NZL,14.7872385978699,82.19339400264137,49.9000012874603,26130.0,220633.0,73.6455042424123,81.9,95.16687528070632,20.605999999999998
Norway,NOR,18.53674125671385,80.72995240045829,23.6749999642372,34793.0,127882.0,82.31451460405927,82.84285714285716,94.46660762931188,25.393285714285714
Poland,POL,17.29615821838378,73.81587338291914,47.8,22138.0,151068.0,80.49210049476609,77.3,87.33127024846488,21.382714285714286
Portugal,PRT,12.890956878662124,75.75538751681937,44.52,22269.571428571428,119542.0,80.24318147344005,81.41428571428573,87.57835346914231,23.545428571428573
Slovak Republic,SVK,14.23499512672425,74.60632223041672,53.46,21328.14285714286,119206.0,71.8874676950675,76.9,91.98919760727911,18.060142857142857
Slovenia,SVN,51.052746454874686,75.93925307591644,65.02,22748.428571428572,151043.0,81.70796334280779,81.12857142857142,93.38027222816802,22.471714285714285
Spain,ESP,12.814990361531583,68.38084409393738,38.96,24894.428571428572,174229.0,78.29501652859588,83.29999999999998,92.96550249889948,26.040285714285712
Sweden,SWE,21.7431116104126,83.74912075859412,,31745.0,,79.84160448707851,82.64285714285715,92.69278560416542,25.707571428571423
Switzerland,CHE,13.917785644531259,83.2704885945702,,38137.71428571428,,78.77258379244117,83.61428571428571,93.5542614409163,16.887285714285714
Türkiye,TUR,7.567856152852376,55.18609879781095,,,,80.8306348799575,78.2,82.56945835897338,12.0434
United Kingdom,GBR,16.4973865509033,79.04190996116581,35.7550004124732,29697.14285714286,252791.5,75.60828607482343,81.10000000000001,92.30164039026997,20.847428571428573
United States,USA,33.011260668436705,74.08539236490424,43.99999928474425,47956.57142857143,89923.5,82.32747522945432,78.41666666666667,91.11785391970213,19.829714285714285
